@relation musicout

@attribute BHSUM3 numeric
@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}

@data
0,0,0,0,0,0,0
1,0,0,0,0,0,1
2,0,0,0,0,1,0
3,0,0,0,0,1,1
4,0,0,0,1,0,0
5,0,0,0,1,0,1
6,0,0,0,1,1,0
7,0,0,0,1,1,1
8,0,0,1,0,0,0
9,0,0,1,0,0,1
10,0,0,1,0,1,0
11,0,0,1,0,1,1
12,0,0,1,1,0,0
13,0,0,1,1,0,1
14,0,0,1,1,1,0
15,0,0,1,1,1,1
16,0,1,0,0,0,0
17,0,1,0,0,0,1
18,0,1,0,0,1,0
19,0,1,0,0,1,1
20,0,1,0,1,0,0
21,0,1,0,1,0,1
22,0,1,0,1,1,0
23,0,1,0,1,1,1
24,0,1,1,0,0,0
25,0,1,1,0,0,1
26,0,1,1,0,1,0
27,0,1,1,0,1,1
28,0,1,1,1,0,0
29,0,1,1,1,0,1
30,0,1,1,1,1,0
31,0,1,1,1,1,1
32,1,0,0,0,0,0
33,1,0,0,0,0,1
34,1,0,0,0,1,0
35,1,0,0,0,1,1
36,1,0,0,1,0,0
37,1,0,0,1,0,1
38,1,0,0,1,1,0
39,1,0,0,1,1,1
40,1,0,1,0,0,0
41,1,0,1,0,0,1
42,1,0,1,0,1,0
43,1,0,1,0,1,1
44,1,0,1,1,0,0
45,1,0,1,1,0,1
46,1,0,1,1,1,0
47,1,0,1,1,1,1
48,1,1,0,0,0,0
49,1,1,0,0,0,1
50,1,1,0,0,1,0
51,1,1,0,0,1,1
52,1,1,0,1,0,0
53,1,1,0,1,0,1
54,1,1,0,1,1,0
55,1,1,0,1,1,1
56,1,1,1,0,0,0
57,1,1,1,0,0,1
58,1,1,1,0,1,0
59,1,1,1,0,1,1
60,1,1,1,1,0,0
61,1,1,1,1,0,1
62,1,1,1,1,1,0
63,1,1,1,1,1,1
64,0,0,0,0,0,0
65,0,0,0,0,0,1
66,0,0,0,0,1,0
67,0,0,0,0,1,1
68,0,0,0,1,0,0
69,0,0,0,1,0,1
70,0,0,0,1,1,0
71,0,0,0,1,1,1
72,0,0,1,0,0,0
73,0,0,1,0,0,1
74,0,0,1,0,1,0
75,0,0,1,0,1,1
76,0,0,1,1,0,0
77,0,0,1,1,0,1
78,0,0,1,1,1,0
79,0,0,1,1,1,1
80,0,1,0,0,0,0
81,0,1,0,0,0,1
82,0,1,0,0,1,0
83,0,1,0,0,1,1
84,0,1,0,1,0,0
85,0,1,0,1,0,1
86,0,1,0,1,1,0
87,0,1,0,1,1,1
88,0,1,1,0,0,0
89,0,1,1,0,0,1
90,0,1,1,0,1,0
91,0,1,1,0,1,1
92,0,1,1,1,0,0
93,0,1,1,1,0,1
94,0,1,1,1,1,0
95,0,1,1,1,1,1
96,1,0,0,0,0,0
97,1,0,0,0,0,1
98,1,0,0,0,1,0
99,1,0,0,0,1,1
100,1,0,0,1,0,0
101,1,0,0,1,0,1
102,1,0,0,1,1,0
103,1,0,0,1,1,1
104,1,0,1,0,0,0
105,1,0,1,0,0,1
106,1,0,1,0,1,0
107,1,0,1,0,1,1
108,1,0,1,1,0,0
109,1,0,1,1,0,1
110,1,0,1,1,1,0
111,1,0,1,1,1,1
112,1,1,0,0,0,0
113,1,1,0,0,0,1
114,1,1,0,0,1,0
115,1,1,0,0,1,1
116,1,1,0,1,0,0
117,1,1,0,1,0,1
118,1,1,0,1,1,0
119,1,1,0,1,1,1
120,1,1,1,0,0,0
121,1,1,1,0,0,1
122,1,1,1,0,1,0
123,1,1,1,0,1,1
124,1,1,1,1,0,0
125,1,1,1,1,0,1
126,1,1,1,1,1,0
127,1,1,1,1,1,1
