@relation musicout

@attribute BHSUM3 numeric
@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute a {0,1}
@attribute b {0,1}
@attribute c {0,1}
@attribute d {0,1}
@attribute e {0,1}
@attribute f {0,1}
@attribute g {0,1}
@attribute h {0,1}
@attribute i {0,1}


@data
30605,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1
30606,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0
30607,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1
30608,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
30609,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1
30610,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0
30611,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1
30612,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0
30613,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1
30614,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0
30615,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1
30616,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0
30617,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1
30618,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0
30619,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1
30620,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0
30621,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1
30622,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
30623,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
30624,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0
30625,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1
30626,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0
30627,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1
30628,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0
